coin,candles,range,nan,extreme_moves,time_gaps,ohlc_violations,zero_volume_pct,price_range_x,status,issues
1000SATSUSDT,20052,2023-12-12 ~ 2026-03-27,0,1,0,0,0.0,91.7,ISSUES,extreme_moves: 1 (max 36.2%)
BEAMXUSDT,20653,2023-11-17 ~ 2026-03-27,0,0,0,0,0.0,26.0,CLEAN,
DOGEUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,6.3,CLEAN,
ETHUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,3.5,CLEAN,
BTCUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,3.2,CLEAN,
XLMUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,7.8,CLEAN,
XRPUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,9.2,CLEAN,
SANDUSDT,20099,2023-12-10 ~ 2026-03-27,0,0,0,0,0.0,13.4,CLEAN,
ONEUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,22.3,CLEAN,
SOLUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,3.8,CLEAN,
SKLUSDT,20894,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,22.2,ISSUES,extreme_moves: 1 (max 30.9%)
SPELLUSDT,20893,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,11.7,ISSUES,extreme_moves: 1 (max 32.4%)
ADAUSDT,19631,2023-12-30 ~ 2026-03-27,0,1,0,0,0.0,5.3,ISSUES,extreme_moves: 1 (max 33.6%)
LINKUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,3.8,CLEAN,
OGNUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,14.2,CLEAN,
ETCUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,5.0,CLEAN,
BNBUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,4.7,CLEAN,
APTUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,24.1,CLEAN,
AVAXUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,7.8,CLEAN,
BNTUSDT,20893,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,7.1,CLEAN,
LTCUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,2.9,CLEAN,
XVGUSDT,20893,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,7.6,ISSUES,extreme_moves: 1 (max 33.8%)
DENTUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,20.3,CLEAN,
HOTUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,14.4,CLEAN,
1000PEPEUSDT,19392,2024-01-09 ~ 2026-03-27,0,1,0,0,0.0,31.3,ISSUES,extreme_moves: 1 (max 32.8%)
EGLDUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,20.0,CLEAN,
GALAUSDT,20099,2023-12-10 ~ 2026-03-27,0,1,0,0,0.0,27.7,ISSUES,extreme_moves: 1 (max 30.7%)
ATOMUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,8.5,CLEAN,
IOTAUSDT,20894,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,10.4,ISSUES,extreme_moves: 1 (max 38.0%)
RSRUSDT,20894,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,19.3,ISSUES,extreme_moves: 1 (max 31.4%)
APEUSDT,20099,2023-12-10 ~ 2026-03-27,0,1,0,0,0.0,30.0,ISSUES,extreme_moves: 1 (max 35.2%)
CKBUSDT,20893,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,27.1,CLEAN,
IOSTUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,13.7,CLEAN,
COTIUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,25.1,CLEAN,
ASTRUSDT,20893,2023-11-07 ~ 2026-03-27,0,1,0,0,0.0,28.4,ISSUES,extreme_moves: 1 (max 69.7%)
FILUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,13.9,CLEAN,
DOTUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,9.7,CLEAN,
STEEMUSDT,20868,2023-11-08 ~ 2026-03-27,0,0,0,0,0.0,8.2,CLEAN,
VETUSDT,20894,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,11.5,CLEAN,
ACHUSDT,20893,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,8.9,CLEAN,
KAVAUSDT,20099,2023-12-10 ~ 2026-03-27,0,1,0,0,0.0,25.0,ISSUES,extreme_moves: 1 (max 47.0%)
1000FLOKIUSDT,19400,2024-01-08 ~ 2026-03-27,0,0,0,0,0.0,12.7,CLEAN,
NEARUSDT,19631,2023-12-30 ~ 2026-03-27,0,0,0,0,0.0,9.6,CLEAN,
UNIUSDT,19631,2023-12-30 ~ 2026-03-27,0,1,0,0,0.0,6.2,ISSUES,extreme_moves: 1 (max 54.6%)
LUNA2USDT,20893,2023-11-07 ~ 2026-03-27,0,2,0,0,0.0,24.7,ISSUES,extreme_moves: 2 (max 31.6%)
DODOXUSDT,20893,2023-11-07 ~ 2026-03-27,0,0,0,0,0.0,24.1,CLEAN,
C98USDT,20894,2023-11-07 ~ 2026-03-27,0,2,0,0,0.0,27.2,ISSUES,extreme_moves: 2 (max 33.7%)
