month,hurst,regime,strategy,pf,wr,trades,ret
2024-04,0.557,trending,atr-breakout(short),0.51,34.7,49,-82.1
2024-04,0.557,trending,bb-squeeze-short(short),0.38,25.4,59,-115.1
2024-04,0.557,trending,supertrend(short),0.7,45.5,220,-187.2
2024-04,0.557,trending,ichimoku(short),0.69,44.7,94,-66.4
2024-04,0.557,trending,mean-reversion(long),1.26,49.2,130,61.9
2024-04,0.557,trending,mean-reversion(short),0.84,46.6,161,-65.1
2024-04,0.557,trending,keltner-squeeze(short),0.82,48.2,110,-43.2
2024-05,0.64,trending,atr-breakout(short),0.57,34.0,94,-88.8
2024-05,0.64,trending,bb-squeeze-short(short),1.95,58.9,73,92.0
2024-05,0.64,trending,supertrend(short),2.84,66.0,212,431.2
2024-05,0.64,trending,ichimoku(short),2.91,61.3,119,208.7
2024-05,0.64,trending,mean-reversion(long),0.69,48.5,231,-185.4
2024-05,0.64,trending,mean-reversion(short),2.8,72.3,112,240.5
2024-05,0.64,trending,keltner-squeeze(short),2.29,58.2,110,192.1
2024-06,0.68,trending,atr-breakout(short),1.21,56.9,72,41.9
2024-06,0.68,trending,bb-squeeze-short(short),1.44,56.5,62,67.0
2024-06,0.68,trending,supertrend(short),0.98,46.7,225,-9.9
2024-06,0.68,trending,ichimoku(short),1.27,48.2,56,27.4
2024-06,0.68,trending,mean-reversion(long),0.72,43.7,206,-191.2
2024-06,0.68,trending,mean-reversion(short),1.14,56.4,172,54.4
2024-06,0.68,trending,keltner-squeeze(short),1.75,52.9,70,91.8
2024-07,0.582,trending,atr-breakout(short),21.23,90.8,98,532.9
2024-07,0.582,trending,bb-squeeze-short(short),6.6,87.2,86,416.5
2024-07,0.582,trending,supertrend(short),0.86,51.3,189,-64.4
2024-07,0.582,trending,ichimoku(short),4.15,72.9,85,254.3
2024-07,0.582,trending,mean-reversion(long),0.23,26.2,210,-782.0
2024-07,0.582,trending,mean-reversion(short),0.55,36.0,172,-200.1
2024-07,0.582,trending,keltner-squeeze(short),2.65,65.8,79,176.4
2024-08,0.52,random,atr-breakout(short),0.61,39.1,64,-42.1
2024-08,0.52,random,bb-squeeze-short(short),2.14,51.0,51,39.7
2024-08,0.52,random,supertrend(short),0.69,47.6,210,-144.4
2024-08,0.52,random,ichimoku(short),1.78,65.8,76,82.8
2024-08,0.52,random,mean-reversion(long),0.93,49.3,144,-19.7
2024-08,0.52,random,mean-reversion(short),0.58,36.9,111,-112.0
2024-08,0.52,random,keltner-squeeze(short),0.78,42.0,100,-45.2
2024-09,0.645,trending,atr-breakout(short),4.05,74.2,31,99.7
2024-09,0.645,trending,bb-squeeze-short(short),3.21,67.6,68,173.7
2024-09,0.645,trending,supertrend(short),0.71,51.5,206,-149.3
2024-09,0.645,trending,ichimoku(short),2.1,61.3,80,116.0
2024-09,0.645,trending,mean-reversion(long),0.61,40.9,115,-150.1
2024-09,0.645,trending,mean-reversion(short),0.89,52.6,154,-37.8
2024-09,0.645,trending,keltner-squeeze(short),0.35,32.5,80,-154.8
2024-10,0.596,trending,atr-breakout(short),3.09,77.1,48,132.1
2024-10,0.596,trending,bb-squeeze-short(short),0.98,54.1,37,-1.4
2024-10,0.596,trending,supertrend(short),0.76,46.0,213,-169.0
2024-10,0.596,trending,ichimoku(short),0.44,33.0,91,-215.4
2024-10,0.596,trending,mean-reversion(long),1.06,47.6,105,13.4
2024-10,0.596,trending,mean-reversion(short),0.5,34.9,278,-547.1
2024-10,0.596,trending,keltner-squeeze(short),0.41,39.7,68,-142.6
2024-11,0.475,random,atr-breakout(short),5.19,84.0,100,436.1
2024-11,0.475,random,bb-squeeze-short(short),0.86,48.3,60,-28.8
2024-11,0.475,random,supertrend(short),0.7,44.0,241,-241.6
2024-11,0.475,random,ichimoku(short),1.14,56.1,82,34.1
