window,dev_thresh,rev_pct,sl,pf,wr,trades,sharpe,mdd,ret
120,1.5,0.3,2,0.6,62.3,408,-4.22,72.6,-124.3
120,1.5,0.3,3,0.58,67.6,408,-4.16,78.3,-145.9
120,1.5,0.3,5,0.5,69.4,408,-4.72,88.7,-205.3
120,1.5,0.5,2,0.79,55.6,408,-2.11,60.5,-76.9
120,1.5,0.5,3,0.75,61.0,408,-2.38,70.0,-100.0
120,1.5,0.5,5,0.67,63.2,408,-3.1,84.6,-154.8
120,1.5,0.7,2,0.9,51.7,408,-0.96,49.2,-39.7
120,1.5,0.7,3,0.84,56.6,408,-1.49,64.4,-69.6
120,1.5,0.7,5,0.76,58.6,408,-2.27,79.7,-123.3
120,2.0,0.3,2,0.71,61.3,349,-2.79,57.4,-78.8
120,2.0,0.3,3,0.66,65.3,349,-3.14,67.4,-104.8
120,2.0,0.3,5,0.55,66.2,349,-4.02,83.2,-165.7
120,2.0,0.5,2,0.82,52.7,349,-1.69,50.9,-58.9
120,2.0,0.5,3,0.77,56.7,349,-2.07,64.3,-82.4
120,2.0,0.5,5,0.66,57.9,349,-3.07,82.2,-145.5
120,2.0,0.7,2,0.91,49.0,349,-0.75,39.4,-29.4
120,2.0,0.7,3,0.84,52.1,349,-1.42,59.6,-63.0
120,2.0,0.7,5,0.73,53.3,349,-2.41,79.5,-124.5
120,3.0,0.3,2,0.84,59.3,248,-1.24,36.1,-32.2
120,3.0,0.3,3,0.82,64.5,248,-1.31,49.4,-39.3
120,3.0,0.3,5,0.67,65.7,248,-2.47,70.6,-93.1
120,3.0,0.5,2,0.93,50.0,248,-0.49,32.2,-16.1
120,3.0,0.5,3,0.89,54.8,248,-0.82,44.2,-30.5
120,3.0,0.5,5,0.73,56.5,248,-2.05,72.0,-91.7
120,3.0,0.7,2,1.06,48.0,248,0.44,25.4,15.8
120,3.0,0.7,3,0.99,52.0,248,-0.05,34.8,-2.1
120,3.0,0.7,5,0.81,53.6,248,-1.37,67.2,-65.3
168,1.5,0.3,2,0.71,63.3,417,-2.93,63.2,-89.2
168,1.5,0.3,3,0.63,66.4,417,-3.62,76.6,-131.3
168,1.5,0.3,5,0.55,68.6,417,-4.19,87.3,-186.8
168,1.5,0.5,2,0.86,55.2,417,-1.39,54.8,-52.5
168,1.5,0.5,3,0.77,58.3,417,-2.24,72.1,-97.9
168,1.5,0.5,5,0.68,60.7,417,-3.06,86.4,-159.1
168,1.5,0.7,2,0.98,51.8,417,-0.2,41.1,-8.5
168,1.5,0.7,3,0.88,54.7,417,-1.17,62.4,-56.2
168,1.5,0.7,5,0.79,57.6,417,-1.91,79.7,-106.9
168,2.0,0.3,2,0.79,63.0,368,-1.97,54.2,-57.8
168,2.0,0.3,3,0.69,65.8,368,-2.84,68.6,-98.9
168,2.0,0.3,5,0.57,66.6,368,-3.87,85.2,-167.9
168,2.0,0.5,2,0.99,56.8,368,-0.1,32.9,-3.7
168,2.0,0.5,3,0.87,59.2,368,-1.14,54.7,-47.4
168,2.0,0.5,5,0.72,60.1,368,-2.55,81.4,-128.1
168,2.0,0.7,2,1.09,53.0,368,0.77,27.4,30.8
