coin,pf,wr,trades,sharpe,sortino,mdd,ret,avg_win,avg_loss,max_consec_loss,calmar
1000PEPEUSDT,1.3,40.3,471,2.32,49.41,48.2,183.5,4.19,-2.18,16,3.81
XVGUSDT,1.17,36.8,475,1.36,22.24,50.4,110.9,4.35,-2.17,18,2.2
BTCUSDT,1.14,49.6,260,0.94,3.86,17.2,35.4,2.26,-1.95,7,2.05
ETCUSDT,1.11,43.3,367,0.85,7.29,53.3,47.5,3.07,-2.12,10,0.89
IOTAUSDT,1.11,39.4,437,0.91,9.75,53.6,60.6,3.64,-2.14,10,1.13
LTCUSDT,1.09,44.4,360,0.74,5.86,34.4,39.2,2.89,-2.12,6,1.14
ETHUSDT,1.07,43.2,361,0.59,3.21,51.3,29.8,2.87,-2.04,8,0.58
SANDUSDT,1.06,39.7,431,0.55,5.84,42.0,35.2,3.47,-2.15,7,0.84
DENTUSDT,1.05,35.7,442,0.39,12.22,52.5,30.9,4.12,-2.18,12,0.59
ADAUSDT,1.04,39.4,411,0.33,2.98,49.5,20.4,3.41,-2.14,8,0.41
OGNUSDT,1.04,37.7,443,0.34,3.65,50.0,23.1,3.68,-2.15,12,0.46
GALAUSDT,1.04,36.6,456,0.36,6.47,46.6,25.1,3.92,-2.18,13,0.54
1000SATSUSDT,1.02,33.0,452,0.21,2.86,62.0,15.3,4.49,-2.16,17,0.25
ONEUSDT,1.02,37.1,463,0.18,3.73,42.5,12.6,3.77,-2.18,19,0.3
SKLUSDT,1.0,36.7,466,-0.01,-0.25,67.2,-0.8,3.76,-2.18,15,-0.01
AVAXUSDT,0.99,36.9,431,-0.1,-0.91,41.6,-6.5,3.59,-2.13,12,-0.16
ATOMUSDT,0.99,39.0,408,-0.06,-0.47,50.2,-3.7,3.27,-2.11,17,-0.07
XLMUSDT,0.97,38.3,355,-0.23,-2.31,45.6,-13.0,3.34,-2.13,11,-0.28
SOLUSDT,0.97,38.4,401,-0.29,-3.1,60.5,-17.3,3.34,-2.15,15,-0.29
BNTUSDT,0.97,40.2,413,-0.23,-1.67,50.2,-13.2,3.05,-2.1,10,-0.26
APTUSDT,0.94,35.5,439,-0.61,-7.71,55.3,-39.9,3.68,-2.17,17,-0.72
EGLDUSDT,0.94,36.8,424,-0.54,-6.92,67.4,-33.4,3.5,-2.16,13,-0.5
RSRUSDT,0.94,34.2,476,-0.57,-14.2,61.2,-40.5,3.95,-2.19,11,-0.66
XRPUSDT,0.93,39.5,352,-0.56,-3.82,51.3,-30.2,2.97,-2.08,14,-0.59
BNBUSDT,0.93,42.4,283,-0.54,-2.58,46.8,-22.9,2.53,-2.0,10,-0.49
BEAMXUSDT,0.92,34.0,488,-0.8,-12.95,70.4,-55.9,3.89,-2.18,10,-0.79
DOGEUSDT,0.92,37.9,409,-0.78,-6.5,60.4,-43.9,3.21,-2.13,10,-0.73
SPELLUSDT,0.91,34.6,442,-0.83,-8.42,64.7,-55.2,3.67,-2.13,16,-0.85
HOTUSDT,0.82,35.3,436,-1.9,-27.09,78.2,-112.2,3.25,-2.17,25,-1.44
LINKUSDT,0.81,35.3,417,-1.91,-26.64,82.6,-110.5,3.23,-2.17,14,-1.34
