strategy_a,strategy_b,correlation
atr-breakout(short),bb-squeeze-short(short),0.557
atr-breakout(short),keltner-squeeze(short),0.341
atr-breakout(short),ichimoku(short),0.302
atr-breakout(short),supertrend(short),0.275
atr-breakout(short),heikin-ashi(short),0.356
atr-breakout(short),donchian-breakout(short),0.417
atr-breakout(short),atr-breakout(long),-0.0
atr-breakout(short),bb-squeeze-short(long),-0.058
bb-squeeze-short(short),keltner-squeeze(short),0.459
bb-squeeze-short(short),ichimoku(short),0.356
bb-squeeze-short(short),supertrend(short),0.293
bb-squeeze-short(short),heikin-ashi(short),0.417
bb-squeeze-short(short),donchian-breakout(short),0.515
bb-squeeze-short(short),atr-breakout(long),0.004
bb-squeeze-short(short),bb-squeeze-short(long),-0.04
keltner-squeeze(short),ichimoku(short),0.447
keltner-squeeze(short),supertrend(short),0.608
keltner-squeeze(short),heikin-ashi(short),0.6
keltner-squeeze(short),donchian-breakout(short),0.661
keltner-squeeze(short),atr-breakout(long),-0.067
keltner-squeeze(short),bb-squeeze-short(long),-0.068
ichimoku(short),supertrend(short),0.359
ichimoku(short),heikin-ashi(short),0.282
ichimoku(short),donchian-breakout(short),0.297
ichimoku(short),atr-breakout(long),-0.105
ichimoku(short),bb-squeeze-short(long),-0.061
supertrend(short),heikin-ashi(short),0.761
supertrend(short),donchian-breakout(short),0.747
supertrend(short),atr-breakout(long),-0.316
supertrend(short),bb-squeeze-short(long),-0.23
heikin-ashi(short),donchian-breakout(short),0.845
heikin-ashi(short),atr-breakout(long),-0.256
heikin-ashi(short),bb-squeeze-short(long),-0.207
donchian-breakout(short),atr-breakout(long),-0.168
donchian-breakout(short),bb-squeeze-short(long),-0.178
atr-breakout(long),bb-squeeze-short(long),0.689
