month,vol_regime,trend_regime,combined,best_strategy,best_pf,best_wr,best_trades,best_pnl,n_profitable,n_tested
2024-04,normal,sideways,normal_sideways,keltner-squeeze(long),1.48,57.1,77,60.25,6,14
2024-05,normal,sideways,normal_sideways,ichimoku(short),2.91,61.3,119,208.66,7,14
2024-06,normal,sideways,normal_sideways,keltner-squeeze(short),1.75,52.9,70,91.76,10,14
2024-07,normal,sideways,normal_sideways,atr-breakout(short),21.23,90.8,98,532.86,11,14
2024-08,normal,sideways,normal_sideways,bb-squeeze-short(short),2.14,51.0,51,39.71,4,14
2024-09,normal,sideways,normal_sideways,atr-breakout(short),4.05,74.2,31,99.74,7,14
2024-10,normal,sideways,normal_sideways,keltner-squeeze(long),3.3,75.0,72,220.22,7,14
2024-11,normal,sideways,normal_sideways,atr-breakout(short),5.19,84.0,100,436.13,7,14
2024-12,normal,sideways,normal_sideways,atr-breakout(long),2.69,72.6,73,200.55,9,14
2025-01,normal,sideways,normal_sideways,donchian-breakout(short),1.55,58.2,435,507.22,4,14
2025-02,normal,sideways,normal_sideways,atr-breakout(short),1.58,62.5,96,116.59,7,14
2025-03,normal,sideways,normal_sideways,bb-squeeze-short(short),4.38,76.1,71,253.34,6,14
2025-04,normal,sideways,normal_sideways,atr-breakout(both),1.19,54.4,90,40.88,3,14
2025-05,normal,sideways,normal_sideways,supertrend(short),2.4,68.0,219,485.5,5,14
2025-06,normal,sideways,normal_sideways,supertrend(long),4.16,73.4,218,538.14,5,13
2025-07,normal,sideways,normal_sideways,supertrend(short),3.04,69.3,218,508.81,10,14
2025-08,normal,sideways,normal_sideways,supertrend(short),0.95,44.7,215,-19.68,0,14
2025-09,normal,sideways,normal_sideways,bb-squeeze-short(short),7.81,86.6,67,294.63,9,14
2025-10,normal,sideways,normal_sideways,atr-breakout(short),13.24,85.2,54,266.97,6,14
2025-11,normal,sideways,normal_sideways,bb-squeeze-short(short),2.28,64.8,71,100.69,6,14
2025-12,normal,sideways,normal_sideways,ichimoku(long),1.51,60.6,94,69.69,5,14
2026-01,normal,sideways,normal_sideways,donchian-breakout(short),3.67,76.0,396,1162.12,9,14
2026-02,normal,sideways,normal_sideways,atr-breakout(both),1.76,64.0,111,142.93,5,14
