strategy,direction,sl,tp,quarter,pf,wr,trades,mdd,sharpe,total_return,max_consec_loss
atr-breakout,short,3,8,2024 Q2,0.6,25.1,251,90.9,-3.67,-220.6,14
atr-breakout,short,3,8,2024 Q2,2.91,61.0,246,14.9,7.26,515.5,5
atr-breakout,short,3,8,2024 Q3,2.68,60.0,205,13.1,5.89,371.7,5
atr-breakout,short,3,8,2024 Q4,1.19,35.6,222,28.1,1.11,76.6,9
atr-breakout,short,3,8,2025 Q1,1.28,41.4,239,25.9,1.61,110.2,8
atr-breakout,short,3,8,2025 Q2,4.19,67.4,86,8.3,4.86,178.3,4
atr-breakout,short,3,8,2025 Q3,1.34,43.0,321,39.7,2.21,168.1,13
atr-breakout,short,3,8,2025 Q4,0.75,30.9,223,73.9,-1.82,-102.3,10
bb-squeeze-short,short,3,5,2024 Q2,0.87,36.8,209,52.3,-0.91,-47.4,10
bb-squeeze-short,short,3,5,2024 Q2,1.64,52.3,216,12.7,3.54,204.1,4
bb-squeeze-short,short,3,5,2024 Q3,1.52,51.2,172,17.9,2.62,130.4,6
bb-squeeze-short,short,3,5,2024 Q4,1.03,40.7,172,26.5,0.17,8.4,4
bb-squeeze-short,short,3,5,2025 Q1,1.45,47.9,140,15.3,2.1,95.3,5
bb-squeeze-short,short,3,5,2025 Q2,0.4,25.0,112,79.5,-4.66,-147.9,9
bb-squeeze-short,short,3,5,2025 Q3,1.47,50.5,202,28.9,2.62,143.1,6
bb-squeeze-short,short,3,5,2025 Q4,1.1,46.3,201,33.9,0.67,33.8,7
keltner-squeeze,short,15,5,2024 Q2,1.34,60.2,299,37.1,2.0,168.1,5
keltner-squeeze,short,15,5,2024 Q2,1.33,57.9,240,39.9,1.86,147.1,5
keltner-squeeze,short,15,5,2024 Q3,0.58,50.2,253,98.9,-3.46,-375.4,7
keltner-squeeze,short,15,5,2024 Q4,1.08,57.8,218,50.6,0.49,41.6,4
keltner-squeeze,short,15,5,2025 Q1,0.94,53.8,273,80.2,-0.43,-40.8,6
keltner-squeeze,short,15,5,2025 Q2,0.7,47.1,204,88.5,-2.09,-151.4,8
keltner-squeeze,short,15,5,2025 Q3,1.95,66.3,329,26.3,5.29,441.6,4
keltner-squeeze,short,15,5,2025 Q4,1.34,60.4,316,40.3,2.07,179.2,6
ichimoku,short,7,7,2024 Q2,1.28,53.5,353,37.3,1.96,183.3,7
ichimoku,short,7,7,2024 Q2,2.15,64.3,221,20.7,4.91,365.5,4
ichimoku,short,7,7,2024 Q3,0.78,45.4,273,95.0,-1.85,-183.9,6
ichimoku,short,7,7,2024 Q4,1.18,52.3,323,47.3,1.35,136.5,8
ichimoku,short,7,7,2025 Q1,1.03,50.8,315,66.9,0.25,24.2,9
ichimoku,short,7,7,2025 Q2,0.7,42.7,286,94.7,-2.66,-235.8,7
ichimoku,short,7,7,2025 Q3,1.6,58.4,353,42.8,3.83,374.1,7
ichimoku,short,7,7,2025 Q4,1.01,50.5,392,67.2,0.05,5.2,10
atr-breakout,short,7,7,2024 Q2,0.55,35.4,229,97.8,-4.1,-341.9,8
atr-breakout,short,7,7,2024 Q2,2.4,64.3,235,20.0,6.16,505.9,4
atr-breakout,short,7,7,2024 Q3,3.62,75.1,193,20.2,8.77,623.6,3
atr-breakout,short,7,7,2024 Q4,1.35,56.8,220,35.1,2.02,179.1,4
atr-breakout,short,7,7,2025 Q1,1.3,47.2,233,27.3,1.81,151.6,7
atr-breakout,short,7,7,2025 Q2,2.52,65.9,82,16.8,3.43,140.0,3
atr-breakout,short,7,7,2025 Q3,1.42,55.3,291,41.2,2.7,261.7,4
atr-breakout,short,7,7,2025 Q4,0.88,43.7,213,68.8,-0.81,-62.8,7
bb-squeeze-short,short,10,8,2024 Q2,1.09,49.0,194,40.7,0.47,39.3,10
bb-squeeze-short,short,10,8,2024 Q2,3.09,70.1,194,15.6,7.12,596.0,3
bb-squeeze-short,short,10,8,2024 Q3,1.1,57.6,165,51.5,0.57,50.9,6
bb-squeeze-short,short,10,8,2024 Q4,1.23,50.9,165,39.9,1.18,107.3,4
bb-squeeze-short,short,10,8,2025 Q1,0.68,42.9,126,86.6,-1.97,-158.7,5
bb-squeeze-short,short,10,8,2025 Q2,0.55,37.6,109,81.4,-2.56,-143.5,4
bb-squeeze-short,short,10,8,2025 Q3,1.74,62.9,186,32.8,3.14,243.4,4
bb-squeeze-short,short,10,8,2025 Q4,1.14,57.8,187,34.3,0.72,55.1,7
