strategy,direction,sl,tp,window,is_period,oos_period,is_pf,is_wr,is_trades,oos_pf,oos_wr,oos_trades,degradation
atr-breakout,short,3,8,1,2024-04→2024-09,2024-09→2024-12,1.36,42.9,497,2.68,60.0,205,1.32
atr-breakout,short,3,8,2,2024-06→2024-12,2024-12→2025-03,2.78,60.4,455,1.19,35.6,222,-1.59
atr-breakout,short,3,8,3,2024-09→2025-03,2025-03→2025-06,1.71,47.3,429,1.28,41.4,239,-0.43
atr-breakout,short,3,8,4,2024-12→2025-06,2025-06→2025-09,1.24,39.2,467,4.19,67.4,86,2.95
atr-breakout,short,3,8,5,2025-03→2025-09,2025-09→2025-12,1.63,48.3,325,1.34,43.0,321,-0.29
atr-breakout,short,3,8,6,2025-06→2025-12,2025-12→2026-03,1.64,48.0,408,0.75,30.9,223,-0.89
bb-squeeze-short,short,3,5,1,2024-04→2024-09,2024-09→2024-12,1.22,44.6,428,1.52,51.2,172,0.3
bb-squeeze-short,short,3,5,2,2024-06→2024-12,2024-12→2025-03,1.56,51.4,391,1.03,40.7,172,-0.53
bb-squeeze-short,short,3,5,3,2024-09→2025-03,2025-03→2025-06,1.24,45.9,344,1.45,47.9,140,0.21
bb-squeeze-short,short,3,5,4,2024-12→2025-06,2025-06→2025-09,1.3,45.6,327,0.4,25.0,112,-0.9
bb-squeeze-short,short,3,5,5,2025-03→2025-09,2025-09→2025-12,0.87,37.0,257,1.47,50.5,202,0.6
bb-squeeze-short,short,3,5,6,2025-06→2025-12,2025-12→2026-03,1.04,42.4,323,1.1,46.3,201,0.06
keltner-squeeze,short,15,5,1,2024-04→2024-09,2024-09→2024-12,1.28,57.7,539,0.58,50.2,253,-0.7
keltner-squeeze,short,15,5,2,2024-06→2024-12,2024-12→2025-03,0.82,53.8,493,1.08,57.8,218,0.26
keltner-squeeze,short,15,5,3,2024-09→2025-03,2025-03→2025-06,0.75,53.5,475,0.94,53.8,273,0.19
keltner-squeeze,short,15,5,4,2024-12→2025-06,2025-06→2025-09,1.02,55.8,493,0.7,47.1,204,-0.32
keltner-squeeze,short,15,5,5,2025-03→2025-09,2025-09→2025-12,0.84,51.3,483,1.95,66.3,329,1.11
keltner-squeeze,short,15,5,6,2025-06→2025-12,2025-12→2026-03,1.3,58.9,533,1.34,60.4,316,0.04
ichimoku,short,7,7,1,2024-04→2024-09,2024-09→2024-12,1.54,57.0,584,0.78,45.4,273,-0.76
ichimoku,short,7,7,2,2024-06→2024-12,2024-12→2025-03,1.2,54.7,503,1.18,52.3,323,-0.02
ichimoku,short,7,7,3,2024-09→2025-03,2025-03→2025-06,0.97,49.1,613,1.03,50.8,315,0.06
ichimoku,short,7,7,4,2024-12→2025-06,2025-06→2025-09,1.18,52.8,652,0.7,42.7,286,-0.48
ichimoku,short,7,7,5,2025-03→2025-09,2025-09→2025-12,0.83,46.2,611,1.6,58.4,353,0.77
ichimoku,short,7,7,6,2025-06→2025-12,2025-12→2026-03,1.16,53.2,665,1.01,50.5,392,-0.15
atr-breakout,short,7,7,1,2024-04→2024-09,2024-09→2024-12,1.15,50.0,464,3.62,75.1,193,2.47
atr-breakout,short,7,7,2,2024-06→2024-12,2024-12→2025-03,2.92,69.4,431,1.35,56.8,220,-1.57
atr-breakout,short,7,7,3,2024-09→2025-03,2025-03→2025-06,2.06,65.3,415,1.3,47.2,233,-0.76
atr-breakout,short,7,7,4,2024-12→2025-06,2025-06→2025-09,1.36,52.3,459,2.52,65.9,82,1.16
atr-breakout,short,7,7,5,2025-03→2025-09,2025-09→2025-12,1.49,52.1,315,1.42,55.3,291,-0.07
atr-breakout,short,7,7,6,2025-06→2025-12,2025-12→2026-03,1.58,57.8,374,0.88,43.7,213,-0.7
bb-squeeze-short,short,10,8,1,2024-04→2024-09,2024-09→2024-12,1.82,59.3,391,1.1,57.6,165,-0.72
bb-squeeze-short,short,10,8,2,2024-06→2024-12,2024-12→2025-03,1.84,64.4,362,1.23,50.9,165,-0.61
bb-squeeze-short,short,10,8,3,2024-09→2025-03,2025-03→2025-06,1.16,54.2,330,0.68,42.9,126,-0.48
bb-squeeze-short,short,10,8,4,2024-12→2025-06,2025-06→2025-09,1.05,49.3,306,0.55,37.6,109,-0.5
bb-squeeze-short,short,10,8,5,2025-03→2025-09,2025-09→2025-12,0.62,39.6,240,1.74,62.9,186,1.12
bb-squeeze-short,short,10,8,6,2025-06→2025-12,2025-12→2026-03,1.17,53.9,304,1.14,57.8,187,-0.03
