strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period
keltner-squeeze,short,3,3,48,64,36,28,56.2,1.27,18.07,11.2,1.3,2.36,-2.38,1,2y
keltner-squeeze,short,3,5,48,62,34,28,54.8,1.53,36.19,11.5,2.22,3.08,-2.45,1,2y
keltner-squeeze,short,3,8,48,61,33,28,54.1,1.5,34.07,17.0,1.97,3.11,-2.45,1,2y
keltner-squeeze,short,3,10,48,61,33,28,54.1,1.43,29.69,17.0,1.72,2.98,-2.45,1,2y
keltner-squeeze,short,3,15,48,61,33,28,54.1,1.43,29.72,17.0,1.66,2.98,-2.45,1,2y
keltner-squeeze,short,5,3,48,63,37,26,58.7,1.22,15.29,18.5,1.02,2.31,-2.7,1,2y
keltner-squeeze,short,5,5,48,61,35,26,57.4,1.49,33.24,19.5,2.02,2.88,-2.6,1,2y
keltner-squeeze,short,5,8,48,60,34,26,56.7,1.45,29.56,25.6,1.76,2.81,-2.54,1,2y
keltner-squeeze,short,5,10,48,60,34,26,56.7,1.35,23.17,25.6,1.42,2.62,-2.54,1,2y
keltner-squeeze,short,5,15,48,60,34,26,56.7,1.35,23.11,25.6,1.37,2.62,-2.54,1,2y
keltner-squeeze,short,7,3,48,63,37,26,58.7,1.18,13.19,20.3,0.83,2.31,-2.78,1,2y
keltner-squeeze,short,7,5,48,61,35,26,57.4,1.49,33.1,19.8,1.96,2.88,-2.6,1,2y
keltner-squeeze,short,7,8,48,60,34,26,56.7,1.44,29.11,26.1,1.69,2.81,-2.56,1,2y
keltner-squeeze,short,7,10,48,60,34,26,56.7,1.34,22.72,26.1,1.36,2.62,-2.56,1,2y
keltner-squeeze,short,7,15,48,60,34,26,56.7,1.34,22.66,26.1,1.31,2.62,-2.56,1,2y
keltner-squeeze,short,10,3,48,63,37,26,58.7,1.2,14.43,20.9,0.91,2.31,-2.73,1,2y
keltner-squeeze,short,10,5,48,61,35,26,57.4,1.51,33.99,19.1,2.01,2.88,-2.57,1,2y
keltner-squeeze,short,10,8,48,60,34,26,56.7,1.46,30.0,25.5,1.74,2.81,-2.52,1,2y
keltner-squeeze,short,10,10,48,60,34,26,56.7,1.36,23.6,25.5,1.41,2.62,-2.52,1,2y
keltner-squeeze,short,10,15,48,60,34,26,56.7,1.36,23.55,25.5,1.35,2.62,-2.52,1,2y
keltner-squeeze,short,15,3,48,63,38,25,60.3,1.45,27.46,9.5,1.93,2.32,-2.43,1,2y
keltner-squeeze,short,15,5,48,61,35,26,57.4,1.65,39.62,14.0,2.51,2.88,-2.35,1,2y
keltner-squeeze,short,15,8,48,60,34,26,56.7,1.59,35.63,20.8,2.2,2.81,-2.31,1,2y
keltner-squeeze,short,15,10,48,60,34,26,56.7,1.49,29.24,20.8,1.86,2.62,-2.31,1,2y
keltner-squeeze,short,15,15,48,60,34,26,56.7,1.49,29.18,20.8,1.79,2.62,-2.31,1,2y
atr-breakout,short,3,3,48,73,44,29,60.3,1.51,36.58,9.2,2.13,2.46,-2.47,1,2y
atr-breakout,short,3,5,48,68,33,35,48.5,1.34,27.75,14.7,1.45,3.3,-2.32,1,2y
atr-breakout,short,3,8,48,67,33,34,49.3,1.58,47.12,14.8,2.1,3.88,-2.38,1,2y
atr-breakout,short,3,10,48,66,33,33,50.0,1.46,35.9,20.3,1.73,3.44,-2.35,1,2y
atr-breakout,short,3,15,48,64,32,32,50.0,1.4,29.97,20.3,1.51,3.26,-2.33,1,2y
atr-breakout,short,5,3,48,73,45,28,61.6,1.48,35.89,12.0,1.94,2.47,-2.68,1,2y
atr-breakout,short,5,5,48,68,33,35,48.5,1.22,19.28,18.2,0.94,3.3,-2.56,1,2y
atr-breakout,short,5,8,48,67,33,34,49.3,1.43,38.66,18.1,1.63,3.88,-2.63,1,2y
atr-breakout,short,5,10,48,66,33,33,50.0,1.33,27.99,23.4,1.27,3.44,-2.59,1,2y
atr-breakout,short,5,15,48,64,32,32,50.0,1.3,24.06,23.4,1.16,3.26,-2.51,1,2y
atr-breakout,short,7,3,48,73,45,28,61.6,1.43,33.6,15.6,1.74,2.47,-2.77,1,2y
atr-breakout,short,7,5,48,68,33,35,48.5,1.15,14.45,21.6,0.67,3.3,-2.7,1,2y
atr-breakout,short,7,8,48,67,33,34,49.3,1.36,33.82,19.6,1.38,3.88,-2.77,1,2y
atr-breakout,short,7,10,48,66,33,33,50.0,1.26,23.16,24.8,1.01,3.44,-2.74,1,2y
atr-breakout,short,7,15,48,64,32,32,50.0,1.25,21.19,24.8,0.99,3.26,-2.6,1,2y
atr-breakout,short,10,3,48,72,44,28,61.1,1.46,34.12,14.2,1.84,2.46,-2.65,1,2y
