strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period,coin
keltner-squeeze,short,7,7,48,67,40,27,59.7,1.71,73.68,14.7,2.63,4.42,-3.82,1,2y,ETHUSDT
keltner-squeeze,short,7,7,48,60,34,26,56.7,1.39,26.12,24.7,1.57,2.72,-2.56,1,2y,BTCUSDT
keltner-squeeze,short,7,7,48,74,37,37,50.0,1.28,37.62,26.1,1.13,4.61,-3.59,1,2y,XRPUSDT
keltner-squeeze,short,7,7,48,74,38,36,51.4,1.26,38.1,35.0,1.08,4.91,-4.13,1,2y,SOLUSDT
keltner-squeeze,short,7,7,48,63,26,37,41.3,0.83,-18.92,35.8,-0.85,3.68,-3.1,1,2y,BNBUSDT
atr-breakout,short,7,7,48,77,36,41,46.8,1.28,41.59,20.5,1.13,5.26,-3.6,1,2y,ETHUSDT
atr-breakout,short,7,7,48,67,33,34,49.3,1.35,32.48,21.1,1.36,3.84,-2.77,1,2y,BTCUSDT
atr-breakout,short,7,7,48,59,30,29,50.8,1.39,39.62,22.4,1.66,4.75,-3.54,1,2y,XRPUSDT
atr-breakout,short,7,7,48,53,28,25,52.8,1.71,66.77,16.7,3.01,5.73,-3.74,1,2y,SOLUSDT
atr-breakout,short,7,7,48,65,33,32,50.8,1.48,48.73,23.9,1.86,4.55,-3.17,1,2y,BNBUSDT
bb-squeeze-short,short,7,7,48,50,25,25,50.0,1.35,34.18,15.9,1.75,5.27,-3.9,1,2y,ETHUSDT
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,BTCUSDT
bb-squeeze-short,short,7,7,48,43,20,23,46.5,1.04,3.21,33.6,0.21,4.46,-3.74,1,2y,XRPUSDT
bb-squeeze-short,short,7,7,48,59,34,25,57.6,1.73,76.32,25.3,2.99,5.3,-4.16,1,2y,SOLUSDT
bb-squeeze-short,short,7,7,48,48,22,26,45.8,1.12,8.98,24.6,0.6,3.88,-2.94,1,2y,BNBUSDT
bb-squeeze-long,short,7,7,48,50,25,25,50.0,1.35,34.18,15.9,1.75,5.27,-3.9,1,2y,ETHUSDT
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,BTCUSDT
bb-squeeze-long,short,7,7,48,43,20,23,46.5,1.04,3.21,33.6,0.21,4.46,-3.74,1,2y,XRPUSDT
bb-squeeze-long,short,7,7,48,59,34,25,57.6,1.73,76.32,25.3,2.99,5.3,-4.16,1,2y,SOLUSDT
bb-squeeze-long,short,7,7,48,48,22,26,45.8,1.12,8.98,24.6,0.6,3.88,-2.94,1,2y,BNBUSDT
ichimoku,short,7,7,48,98,49,49,50.0,1.45,68.06,25.6,1.44,4.51,-3.12,1,2y,ETHUSDT
ichimoku,short,7,7,48,96,50,46,52.1,1.26,33.48,19.8,0.88,3.23,-2.79,1,2y,BTCUSDT
ichimoku,short,7,7,48,91,45,46,49.5,0.99,-0.95,38.5,-0.02,3.77,-3.71,1,2y,XRPUSDT
ichimoku,short,7,7,48,81,42,39,51.9,1.2,34.4,33.4,0.82,4.99,-4.49,1,2y,SOLUSDT
ichimoku,short,7,7,48,74,36,38,48.6,1.22,21.25,29.3,0.78,3.31,-2.58,1,2y,BNBUSDT
bb-squeeze-short,both,7,7,48,101,50,51,49.5,1.02,3.68,44.4,0.07,4.43,-4.27,1,2y,ETHUSDT
bb-squeeze-short,both,7,7,48,92,49,43,53.3,1.25,27.57,25.9,0.86,2.78,-2.53,1,2y,BTCUSDT
bb-squeeze-short,both,7,7,48,82,39,43,47.6,1.09,15.71,33.6,0.38,4.85,-4.03,1,2y,XRPUSDT
bb-squeeze-short,both,7,7,48,104,57,47,54.8,1.3,62.31,42.7,1.06,4.69,-4.36,1,2y,SOLUSDT
bb-squeeze-short,both,7,7,48,98,44,54,44.9,1.1,13.98,26.3,0.35,3.59,-2.67,1,2y,BNBUSDT
