strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period,variable
keltner-squeeze,short,7,7,12,72,35,37,48.6,1.2,9.76,20.5,0.66,1.67,-1.32,1,2y,max_bars=12
keltner-squeeze,short,7,7,24,68,31,37,45.6,0.96,-2.84,24.5,-0.17,2.29,-1.99,1,2y,max_bars=24
keltner-squeeze,short,7,7,48,60,34,26,56.7,1.39,26.12,24.7,1.57,2.72,-2.56,1,2y,max_bars=48
keltner-squeeze,short,7,7,72,56,27,29,48.2,1.21,17.64,28.2,0.98,3.78,-2.91,1,2y,max_bars=72
keltner-squeeze,short,7,7,96,55,25,30,45.5,1.04,4.0,33.5,0.2,4.41,-3.54,1,2y,max_bars=96
keltner-squeeze,short,7,7,168,48,22,26,45.8,1.05,5.58,38.4,0.29,5.3,-4.27,1,2y,max_bars=168
keltner-squeeze,short,7,7,48,48,27,21,56.2,1.11,7.28,29.1,0.56,2.73,-3.16,1,2y,avoid_asia(0-8)
keltner-squeeze,short,7,7,48,40,21,19,52.5,1.02,0.82,19.1,0.1,2.35,-2.55,1,2y,avoid_eu(8-16)
keltner-squeeze,short,7,7,48,23,13,10,56.5,1.37,9.68,10.6,2.39,2.74,-2.59,1,2y,avoid_us(14-22)
keltner-squeeze,short,7,7,48,52,28,24,53.8,1.01,0.41,34.6,0.03,2.69,-3.12,1,2y,avoid_lowvol(2-6)
keltner-squeeze,short,7,7,48,41,22,19,53.7,1.12,7.2,23.7,0.67,3.01,-3.11,1,2y,only_peak(12-20)
keltner-squeeze,short,7,7,48,60,34,26,56.7,1.39,26.12,24.7,1.57,2.72,-2.56,1,2y,min_vol=0.5
keltner-squeeze,short,7,7,48,60,34,26,56.7,1.39,26.12,24.7,1.57,2.72,-2.56,1,2y,min_vol=0.7
