combo,size,avg_pf,avg_wr,mdd_est,diversified,total_trades,sharpe_avg,risk_adjusted
keltner-squeeze(short) + atr-breakout(short),2,1.37,53.0,19.0,False,127,1.47,7.21
keltner-squeeze(short) + ichimoku(short),2,1.325,54.4,17.8,False,156,1.23,7.44
keltner-squeeze(short) + bb-squeeze-short(both),2,1.32,55.0,17.3,True,152,1.22,7.63
keltner-squeeze(short) + bb-squeeze-long(both),2,1.32,55.0,17.3,True,152,1.22,7.63
keltner-squeeze(short) + atr-breakout(both),2,1.32,53.2,14.8,True,189,1.15,8.94
atr-breakout(short) + bb-squeeze-short(short),2,1.315,50.8,13.0,False,113,1.35,10.15
atr-breakout(short) + bb-squeeze-long(short),2,1.315,50.8,13.0,False,113,1.35,10.15
atr-breakout(short) + ichimoku(short),2,1.305,50.7,17.8,False,163,1.12,7.32
atr-breakout(short) + bb-squeeze-short(both),2,1.3,51.3,14.8,True,159,1.11,8.8
atr-breakout(short) + bb-squeeze-long(both),2,1.3,51.3,14.8,True,159,1.11,8.8
bb-squeeze-short(short) + ichimoku(short),2,1.27,52.2,13.0,False,142,1.1,9.8
bb-squeeze-short(short) + atr-breakout(both),2,1.265,50.9,10.1,True,175,1.02,12.55
bb-squeeze-long(short) + ichimoku(short),2,1.27,52.2,13.0,False,142,1.1,9.8
bb-squeeze-long(short) + atr-breakout(both),2,1.265,50.9,10.1,True,175,1.02,12.55
ichimoku(short) + bb-squeeze-short(both),2,1.255,52.7,13.9,True,188,0.87,9.05
ichimoku(short) + bb-squeeze-long(both),2,1.255,52.7,13.9,True,188,0.87,9.05
ichimoku(short) + atr-breakout(both),2,1.255,50.9,13.9,True,225,0.8,9.05
bb-squeeze-short(both) + atr-breakout(both),2,1.25,51.5,19.0,False,221,0.79,6.58
bb-squeeze-long(both) + atr-breakout(both),2,1.25,51.5,19.0,False,221,0.79,6.58
keltner-squeeze(short) + atr-breakout(short) + ichimoku(short),3,1.333,52.7,16.8,False,223,1.27,7.92
keltner-squeeze(short) + atr-breakout(short) + bb-squeeze-short(both),3,1.33,53.1,12.7,True,219,1.26,10.51
keltner-squeeze(short) + atr-breakout(short) + bb-squeeze-long(both),3,1.33,53.1,12.7,True,219,1.26,10.51
keltner-squeeze(short) + ichimoku(short) + bb-squeeze-short(both),3,1.3,54.0,11.9,True,248,1.1,10.94
keltner-squeeze(short) + ichimoku(short) + bb-squeeze-long(both),3,1.3,54.0,11.9,True,248,1.1,10.94
atr-breakout(short) + bb-squeeze-short(short) + ichimoku(short),3,1.297,51.2,12.2,False,209,1.19,10.59
atr-breakout(short) + bb-squeeze-long(short) + ichimoku(short),3,1.297,51.2,12.2,False,209,1.19,10.59
atr-breakout(short) + ichimoku(short) + bb-squeeze-short(both),3,1.287,51.6,11.9,True,255,1.03,10.83
atr-breakout(short) + ichimoku(short) + bb-squeeze-long(both),3,1.287,51.6,11.9,True,255,1.03,10.83
