strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period,top_n
keltner-squeeze,short,7,7,48,721,390,331,54.1,1.3,424.24,59.7,0.4,4.69,-4.24,10,2y,10
atr-breakout,short,7,7,48,590,311,279,52.7,1.44,512.88,41.8,0.62,5.41,-4.19,10,2y,10
bb-squeeze-short,short,7,7,48,494,263,231,53.2,1.3,310.59,42.8,0.48,5.16,-4.52,10,2y,10
bb-squeeze-long,short,7,7,48,494,263,231,53.2,1.3,310.59,42.8,0.48,5.16,-4.52,10,2y,10
ichimoku,short,7,7,48,901,481,420,53.4,1.22,410.62,67.5,0.27,4.72,-4.42,10,2y,10
keltner-squeeze,short,7,7,48,2134,1100,1034,51.5,1.11,513.26,87.8,0.09,4.75,-4.55,30,2y,30
atr-breakout,short,7,7,48,1764,970,794,55.0,1.45,1662.68,48.4,0.38,5.49,-4.61,30,2y,30
bb-squeeze-short,short,7,7,48,1421,777,644,54.7,1.3,946.18,50.4,0.3,5.21,-4.82,30,2y,30
bb-squeeze-long,short,7,7,48,1421,777,644,54.7,1.3,946.18,50.4,0.3,5.21,-4.82,30,2y,30
ichimoku,short,7,7,48,2656,1395,1261,52.5,1.15,867.88,85.7,0.11,4.74,-4.56,30,2y,30
keltner-squeeze,short,7,7,48,3618,1877,1741,51.9,1.12,968.33,89.6,0.08,4.89,-4.71,50,2y,50
atr-breakout,short,7,7,48,2903,1586,1317,54.6,1.43,2652.3,57.3,0.28,5.6,-4.73,50,2y,50
bb-squeeze-short,short,7,7,48,2326,1302,1024,56.0,1.38,1890.1,50.6,0.28,5.3,-4.89,50,2y,50
bb-squeeze-long,short,7,7,48,2326,1302,1024,56.0,1.38,1890.1,50.6,0.28,5.3,-4.89,50,2y,50
ichimoku,short,7,7,48,4395,2307,2088,52.5,1.17,1595.73,85.7,0.09,4.87,-4.61,50,2y,50
