symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,79391.743,5221099249.58465,19995718.00000000,2026-02-28 04:00:00
BTCUSDT,79568.567,5222252146.2007,19995718.00000000,2026-02-28 05:00:00
BTCUSDT,79746.903,5228183036.6091,19995718.00000000,2026-02-28 06:00:00
BTCUSDT,81215.212,5133285132.092428,19995718.00000000,2026-02-28 07:00:00
BTCUSDT,80302.906,5122594646.3554,19995718.00000000,2026-02-28 08:00:00
BTCUSDT,80608.46,5113986101.858,19995718.00000000,2026-02-28 09:00:00
BTCUSDT,80721.728,5136395370.410262,19995718.00000000,2026-02-28 10:00:00
BTCUSDT,80992.716,5180950370.680905,19995718.00000000,2026-02-28 11:00:00
BTCUSDT,80481.465,5135160115.0575,19995718.00000000,2026-02-28 12:00:00
BTCUSDT,80284.157,5136146159.632448,19995718.00000000,2026-02-28 13:00:00
BTCUSDT,79876.79,5198689509.099676,19995718.00000000,2026-02-28 14:00:00
BTCUSDT,79720.394,5134171205.536112,19995718.00000000,2026-02-28 15:00:00
BTCUSDT,79010.538,5119986098.828379,19995718.00000000,2026-02-28 16:00:00
BTCUSDT,79472.637,5169997032.8706,19995718.00000000,2026-02-28 17:00:00
BTCUSDT,79424.804,5194869574.787307,19995718.00000000,2026-02-28 18:00:00
BTCUSDT,78138.026,5147600318.2358,19995718.00000000,2026-02-28 19:00:00
BTCUSDT,77827.037,5162939277.1661005,19995718.00000000,2026-02-28 20:00:00
BTCUSDT,77339.196,5175600867.6768,19995718.00000000,2026-02-28 21:00:00
BTCUSDT,77047.759,5137906694.5873,19995718.00000000,2026-02-28 22:00:00
BTCUSDT,77208.239,5179133592.187235,19995718.00000000,2026-02-28 23:00:00
BTCUSDT,77361.251,5179889735.565613,19995718.00000000,2026-03-01 00:00:00
BTCUSDT,77497.496,5173994944.653857,19995718.00000000,2026-03-01 01:00:00
BTCUSDT,77615.394,5224703531.7282,19995718.00000000,2026-03-01 02:00:00
BTCUSDT,77693.17,5252123699.51562,19996178.00000000,2026-03-01 03:00:00
BTCUSDT,78276.088,5281663382.5824,19996178.00000000,2026-03-01 04:00:00
BTCUSDT,78155.028,5261147180.048598,19996178.00000000,2026-03-01 05:00:00
